trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
536547052,9,10/1/2022 0:00,10/1/2022 0:09,3190,39.948921,-75.169907,3158,39.925522,-75.169037,23553,30,One Way,Indego30,electric
536547050,19,10/1/2022 0:01,10/1/2022 0:20,3168,39.95134,-75.173943,3034,39.933151,-75.162483,22190,30,One Way,Indego30,electric
536547048,12,10/1/2022 0:02,10/1/2022 0:14,3190,39.948921,-75.169907,3158,39.925522,-75.169037,18789,30,One Way,Indego30,electric
536547046,5,10/1/2022 0:03,10/1/2022 0:08,3075,39.967178,-75.161247,3039,39.971569,-75.159927,23383,30,One Way,Indego30,electric
536547044,11,10/1/2022 0:03,10/1/2022 0:14,3050,39.953388,-75.154259,3075,39.967178,-75.161247,5367,30,One Way,Indego30,standard
536547042,4,10/1/2022 0:03,10/1/2022 0:07,3248,39.942131,-75.18335,3032,39.945271,-75.17971,5351,30,One Way,Indego30,standard
536547040,30,10/1/2022 0:08,10/1/2022 0:38,3041,39.968491,-75.13546,3010,39.947109,-75.166183,18603,30,One Way,Indego30,electric
536547038,18,10/1/2022 0:08,10/1/2022 0:26,3041,39.968491,-75.13546,3072,39.934448,-75.145409,22819,30,One Way,Indego30,electric
536547036,11,10/1/2022 0:08,10/1/2022 0:19,3073,39.96143,-75.15242,3256,39.95269,-75.177788,23087,30,One Way,Indego30,electric
536547034,4,10/1/2022 0:12,10/1/2022 0:16,3005,39.94733,-75.144028,3026,39.941818,-75.1455,14725,30,One Way,Indego30,standard
536547032,15,10/1/2022 0:16,10/1/2022 0:30,3010,39.947109,-75.166183,3043,39.93082,-75.174744,19634,30,One Way,Indego30,electric
536547030,11,10/1/2022 0:16,10/1/2022 0:27,3010,39.947109,-75.166183,3168,39.95134,-75.173943,14600,30,One Way,Indego30,standard
536547028,86,10/1/2022 0:17,10/1/2022 1:43,3056,39.976688,-75.158127,3056,39.976688,-75.158127,14651,1,Round Trip,Day Pass,standard
536547026,13,10/1/2022 0:18,10/1/2022 0:31,3041,39.968491,-75.13546,3275,39.975761,-75.121567,18106,30,One Way,Indego30,electric
536547024,14,10/1/2022 0:18,10/1/2022 0:32,3005,39.94733,-75.144028,3010,39.947109,-75.166183,11888,30,One Way,Indego30,standard
536547022,6,10/1/2022 0:19,10/1/2022 0:26,3207,39.954411,-75.192001,3074,39.955109,-75.209869,23099,30,One Way,Indego30,electric
536547019,15,10/1/2022 0:20,10/1/2022 0:35,3012,39.942181,-75.177467,3074,39.955109,-75.209869,22577,30,One Way,Indego30,electric
536547018,7,10/1/2022 0:21,10/1/2022 0:28,3114,39.937752,-75.180122,3066,39.94561,-75.173477,3343,365,One Way,Indego365,standard
536547016,23,10/1/2022 0:21,10/1/2022 0:44,3010,39.947109,-75.166183,3098,39.934311,-75.160423,13056,30,One Way,Indego30,standard
536547014,15,10/1/2022 0:23,10/1/2022 0:38,3166,39.971951,-75.134453,3045,39.947922,-75.162369,23589,365,One Way,Indego365,electric
536547012,12,10/1/2022 0:23,10/1/2022 0:35,3049,39.945091,-75.142502,3088,39.969841,-75.1418,3551,30,One Way,Indego30,standard
536547010,18,10/1/2022 0:25,10/1/2022 0:43,3182,39.950809,-75.169533,3157,39.925449,-75.159538,22761,30,One Way,Indego30,electric
536547008,10,10/1/2022 0:25,10/1/2022 0:35,3005,39.94733,-75.144028,3033,39.95005,-75.156723,3591,30,One Way,Indego30,standard
536547006,44,10/1/2022 0:25,10/1/2022 1:09,3267,39.917999,-75.179604,3237,39.917171,-75.170959,11885,30,One Way,Indego30,standard
536547004,7,10/1/2022 0:26,10/1/2022 0:33,3075,39.967178,-75.161247,3167,39.950249,-75.160278,22646,30,One Way,Indego30,electric
536547002,8,10/1/2022 0:26,10/1/2022 0:34,3049,39.945091,-75.142502,3100,39.927769,-75.151031,23164,30,One Way,Indego30,electric
536547000,26,10/1/2022 0:30,10/1/2022 0:56,3064,39.9384,-75.173271,3064,39.9384,-75.173271,2441,30,Round Trip,Indego30,standard
536546998,11,10/1/2022 0:31,10/1/2022 0:42,3052,39.947319,-75.156952,3256,39.95269,-75.177788,11865,365,One Way,Indego365,standard
536546996,9,10/1/2022 0:33,10/1/2022 0:42,3077,39.972069,-75.163513,3167,39.950249,-75.160278,17216,30,One Way,Indego30,electric
536546994,5,10/1/2022 0:33,10/1/2022 0:38,3101,39.942951,-75.159554,3034,39.933151,-75.162483,22206,30,One Way,Indego30,electric
536546992,3,10/1/2022 0:34,10/1/2022 0:37,3167,39.950249,-75.160278,3055,39.951118,-75.154572,22337,30,One Way,Indego30,electric
536546990,8,10/1/2022 0:34,10/1/2022 0:42,3005,39.94733,-75.144028,3101,39.942951,-75.159554,4813,30,One Way,Indego30,standard
536546988,7,10/1/2022 0:35,10/1/2022 0:42,3018,39.952728,-75.15979,3030,39.93935,-75.157158,22569,365,One Way,Indego365,electric
536546986,18,10/1/2022 0:36,10/1/2022 0:54,3041,39.968491,-75.13546,3098,39.934311,-75.160423,5280,365,One Way,Indego365,standard
536546984,4,10/1/2022 0:37,10/1/2022 0:41,3210,39.984921,-75.156677,3210,39.984921,-75.156677,22393,30,Round Trip,Indego30,electric
536546982,10,10/1/2022 0:37,10/1/2022 0:47,3029,39.9538,-75.194794,3125,39.943909,-75.167351,22934,30,One Way,Indego30,electric
536546980,23,10/1/2022 0:39,10/1/2022 1:02,3055,39.951118,-75.154572,3009,39.955761,-75.189819,22568,30,One Way,Indego30,electric
536546978,13,10/1/2022 0:41,10/1/2022 0:54,3209,39.949001,-75.212784,3256,39.95269,-75.177788,19883,30,One Way,Indego30,electric
